date,campaign,adset,ad,spend,clicks,impressions,purchases,revenue,currency,utm_campaign,pixel_events,server_events,transaction_id,page_load_time,ad_copy
2024-01-01,Summer_Sale_2024,Audience_A,Video_Ad_1,1250.50,3420,125000,45,8950.00,USD,summer_sale_2024,44,45,TXN001001,1.2,"Shop our biggest summer sale! Up to 50% off"
2024-01-02,Summer_Sale_2024,Audience_A,Video_Ad_1,1180.25,3100,118000,38,7520.00,USD,summer_sale_2024,37,38,TXN001002,1.4,"Shop our biggest summer sale! Up to 50% off"
2024-01-03,Summer_Sale_2024,Audience_B,Image_Ad_1,980.00,2800,95000,32,6400.00,USD,summer_sale_2024,30,32,TXN001003,1.1,"Limited time offer - Summer collection"
2024-01-04,Summer_Sale_2024,Audience_B,Image_Ad_1,1050.75,2950,102000,35,7100.00,USD,summer_sale_2024,33,35,TXN001004,0.9,"Limited time offer - Summer collection"
2024-01-05,Brand_Awareness_Q1,Lookalike_1,Carousel_1,2500.00,8500,450000,18,3200.00,USD,brand_awareness_q1,17,18,TXN001005,2.1,"Discover our brand story"
2024-01-06,Brand_Awareness_Q1,Lookalike_1,Carousel_1,2750.25,9200,480000,22,4100.00,USD,brand_awareness_q1,20,22,TXN001006,1.8,"Discover our brand story"
2024-01-07,Brand_Awareness_Q1,Interest_A,Video_Ad_2,1890.50,6800,320000,28,5600.00,USD,brand_awareness_q1,25,28,TXN001007,1.5,"Quality you can trust"
2024-01-08,Retargeting_High_Value,Website_Visitors,Dynamic_1,750.00,2100,45000,42,12400.00,USD,retargeting_high,40,42,TXN001008,1.3,"Complete your purchase - 10% off"
2024-01-09,Retargeting_High_Value,Cart_Abandoners,Dynamic_2,520.25,1500,28000,38,9800.00,USD,retargeting_high,35,38,TXN001009,1.2,"Don't miss out! Your cart is waiting"
2024-01-10,Retargeting_High_Value,Cart_Abandoners,Dynamic_2,480.00,1400,25000,35,8750.00,USD,retargeting_high,32,35,TXN001010,1.1,"Don't miss out! Your cart is waiting"
2024-01-11,New_Product_Launch,Launch_Audience,Hero_Video,3500.00,12000,680000,55,16500.00,USD,new_product_2024,52,55,TXN001011,2.5,"Introducing our latest innovation"
